direct-UPPAAL, sync, reduction/slicing-yes, 630.0
direct-UPPAAL, sync, reduction/slicing-yes, 606.0
direct-UPPAAL, sync, reduction/slicing-yes, 614.0
direct-UPPAAL, sync, reduction/slicing-yes, 593.0
direct-UPPAAL, sync, reduction/slicing-yes, 584.0
direct-UPPAAL, sync, reduction/slicing-yes, 618.0
direct-UPPAAL, sync, reduction/slicing-yes, 610.0
direct-UPPAAL, sync, reduction/slicing-yes, 624.0
direct-UPPAAL, sync, reduction/slicing-yes, 621.0
direct-UPPAAL, sync, reduction/slicing-yes, 610.0

direct-XSTS, sync, reduction/slicing-yes, 1121.0
direct-XSTS, sync, reduction/slicing-yes, 1219.0
direct-XSTS, sync, reduction/slicing-yes, 1174.0
direct-XSTS, sync, reduction/slicing-yes, 1159.0
direct-XSTS, sync, reduction/slicing-yes, 1224.0
direct-XSTS, sync, reduction/slicing-yes, 1211.0
direct-XSTS, sync, reduction/slicing-yes, 1211.0
direct-XSTS, sync, reduction/slicing-yes, 1242.0
direct-XSTS, sync, reduction/slicing-yes, 1179.0
direct-XSTS, sync, reduction/slicing-yes, 1181.0

XSTS-UPPAAL, sync, reduction/slicing-yes, 1327.0
XSTS-UPPAAL, sync, reduction/slicing-yes, 1290.0
XSTS-UPPAAL, sync, reduction/slicing-yes, 1294.0
XSTS-UPPAAL, sync, reduction/slicing-yes, 1250.0
XSTS-UPPAAL, sync, reduction/slicing-yes, 1325.0
XSTS-UPPAAL, sync, reduction/slicing-yes, 1243.0
XSTS-UPPAAL, sync, reduction/slicing-yes, 1284.0
XSTS-UPPAAL, sync, reduction/slicing-yes, 1314.0
XSTS-UPPAAL, sync, reduction/slicing-yes, 1217.0
XSTS-UPPAAL, sync, reduction/slicing-yes, 1318.0

direct-UPPAAL, casc, reduction/slicing-yes, 620.0
direct-UPPAAL, casc, reduction/slicing-yes, 706.0
direct-UPPAAL, casc, reduction/slicing-yes, 620.0
direct-UPPAAL, casc, reduction/slicing-yes, 570.0
direct-UPPAAL, casc, reduction/slicing-yes, 723.0
direct-UPPAAL, casc, reduction/slicing-yes, 588.0
direct-UPPAAL, casc, reduction/slicing-yes, 619.0
direct-UPPAAL, casc, reduction/slicing-yes, 612.0
direct-UPPAAL, casc, reduction/slicing-yes, 749.0
direct-UPPAAL, casc, reduction/slicing-yes, 599.0

direct-XSTS, casc, reduction/slicing-yes, 1224.0
direct-XSTS, casc, reduction/slicing-yes, 1123.0
direct-XSTS, casc, reduction/slicing-yes, 1376.0
direct-XSTS, casc, reduction/slicing-yes, 1185.0
direct-XSTS, casc, reduction/slicing-yes, 1250.0
direct-XSTS, casc, reduction/slicing-yes, 1244.0
direct-XSTS, casc, reduction/slicing-yes, 1119.0
direct-XSTS, casc, reduction/slicing-yes, 1284.0
direct-XSTS, casc, reduction/slicing-yes, 1113.0
direct-XSTS, casc, reduction/slicing-yes, 1162.0

XSTS-UPPAAL, casc, reduction/slicing-yes, 1152.0
XSTS-UPPAAL, casc, reduction/slicing-yes, 1391.0
XSTS-UPPAAL, casc, reduction/slicing-yes, 1213.0
XSTS-UPPAAL, casc, reduction/slicing-yes, 1324.0
XSTS-UPPAAL, casc, reduction/slicing-yes, 1271.0
XSTS-UPPAAL, casc, reduction/slicing-yes, 1191.0
XSTS-UPPAAL, casc, reduction/slicing-yes, 1304.0
XSTS-UPPAAL, casc, reduction/slicing-yes, 1221.0
XSTS-UPPAAL, casc, reduction/slicing-yes, 1442.0
XSTS-UPPAAL, casc, reduction/slicing-yes, 1246.0

direct-UPPAAL, sync, reduction/slicing-no, 586.0
direct-UPPAAL, sync, reduction/slicing-no, 555.0
direct-UPPAAL, sync, reduction/slicing-no, 697.0
direct-UPPAAL, sync, reduction/slicing-no, 559.0
direct-UPPAAL, sync, reduction/slicing-no, 519.0
direct-UPPAAL, sync, reduction/slicing-no, 520.0
direct-UPPAAL, sync, reduction/slicing-no, 612.0
direct-UPPAAL, sync, reduction/slicing-no, 540.0
direct-UPPAAL, sync, reduction/slicing-no, 723.0
direct-UPPAAL, sync, reduction/slicing-no, 544.0

direct-XSTS, sync, reduction/slicing-no, 1252.0
direct-XSTS, sync, reduction/slicing-no, 1460.0
direct-XSTS, sync, reduction/slicing-no, 1212.0
direct-XSTS, sync, reduction/slicing-no, 1399.0
direct-XSTS, sync, reduction/slicing-no, 1292.0
direct-XSTS, sync, reduction/slicing-no, 1433.0
direct-XSTS, sync, reduction/slicing-no, 1387.0
direct-XSTS, sync, reduction/slicing-no, 1304.0
direct-XSTS, sync, reduction/slicing-no, 1374.0
direct-XSTS, sync, reduction/slicing-no, 1362.0

XSTS-UPPAAL, sync, reduction/slicing-no, 1409.0
XSTS-UPPAAL, sync, reduction/slicing-no, 1547.0
XSTS-UPPAAL, sync, reduction/slicing-no, 1418.0
XSTS-UPPAAL, sync, reduction/slicing-no, 1541.0
XSTS-UPPAAL, sync, reduction/slicing-no, 1408.0
XSTS-UPPAAL, sync, reduction/slicing-no, 1450.0
XSTS-UPPAAL, sync, reduction/slicing-no, 1415.0
XSTS-UPPAAL, sync, reduction/slicing-no, 1572.0
XSTS-UPPAAL, sync, reduction/slicing-no, 1403.0
XSTS-UPPAAL, sync, reduction/slicing-no, 1446.0

direct-UPPAAL, casc, reduction/slicing-no, 513.0
direct-UPPAAL, casc, reduction/slicing-no, 576.0
direct-UPPAAL, casc, reduction/slicing-no, 650.0
direct-UPPAAL, casc, reduction/slicing-no, 529.0
direct-UPPAAL, casc, reduction/slicing-no, 547.0
direct-UPPAAL, casc, reduction/slicing-no, 549.0
direct-UPPAAL, casc, reduction/slicing-no, 667.0
direct-UPPAAL, casc, reduction/slicing-no, 548.0
direct-UPPAAL, casc, reduction/slicing-no, 564.0
direct-UPPAAL, casc, reduction/slicing-no, 547.0

direct-XSTS, casc, reduction/slicing-no, 1309.0
direct-XSTS, casc, reduction/slicing-no, 1316.0
direct-XSTS, casc, reduction/slicing-no, 1209.0
direct-XSTS, casc, reduction/slicing-no, 1259.0
direct-XSTS, casc, reduction/slicing-no, 1340.0
direct-XSTS, casc, reduction/slicing-no, 1268.0
direct-XSTS, casc, reduction/slicing-no, 1365.0
direct-XSTS, casc, reduction/slicing-no, 1264.0
direct-XSTS, casc, reduction/slicing-no, 1378.0
direct-XSTS, casc, reduction/slicing-no, 1217.0

XSTS-UPPAAL, casc, reduction/slicing-no, 1499.0
XSTS-UPPAAL, casc, reduction/slicing-no, 1286.0
XSTS-UPPAAL, casc, reduction/slicing-no, 1465.0
XSTS-UPPAAL, casc, reduction/slicing-no, 1375.0
XSTS-UPPAAL, casc, reduction/slicing-no, 1518.0
XSTS-UPPAAL, casc, reduction/slicing-no, 1344.0
XSTS-UPPAAL, casc, reduction/slicing-no, 1451.0
XSTS-UPPAAL, casc, reduction/slicing-no, 1371.0
XSTS-UPPAAL, casc, reduction/slicing-no, 1335.0
XSTS-UPPAAL, casc, reduction/slicing-no, 1254.0
